1000,"Accounting","IQ/H",1,"B174","IQ-6, Finance-4, Mathematics (Statistics)-5, Merchant-5"
1001,"Acrobatics","DX/H",1,"B174","DX-6, Aerobatics-4, Aquabatics-4"
1002,"Acting","IQ/A",1,"B174","IQ-5, Performance-2, Public Speaking-5"
1003,"Administration","IQ/A",1,"B174","Merchant-3, IQ-5"
1004,"Aerobatics","DX/H",1,"B174","DX-6, Acrobatics-4, Aquabatics-4"
1005,"Airshipman","IQ/E",1,"B185","IQ-4"
1006,"Alchemy","IQ/VH",1,"B174",
1007,"Animal Handling (@Specialty@)","IQ/A",1,"B175","IQ-5"
1008,"Animal Handling (Big Cats)","IQ/A",1,"B175","IQ-5"
1009,"Animal Handling (Dogs)","IQ/A",1,"B175","IQ-5"
1010,"Animal Handling (Equines)","IQ/A",1,"B175","IQ-5"
1011,"Animal Handling (Raptors)","IQ/A",1,"B175","IQ-5"
1012,"Anthropology (@Species@)","IQ/H",1,"B175","IQ-6, Paleontology (Paleoanthropology)-2, Sociology-3"
1013,"Aquabatics","DX/H",1,"B174","DX-6, Acrobatics-4, Aerobatics-4"
1014,"Archaeology","IQ/H",1,"B176","IQ-6"
1015,"Architecture","IQ/A",1,"B176","IQ-5, Engineer (Civil)-4"
1016,"Area Knowledge (@Barony, County, Duchy, or Small Nation@)","IQ/E",1,"B176","Geography (@Specialty@)-3"
1017,"Area Knowledge (@Barony, County, Duchy, or Small Nation@; Lived there)","IQ/E",1,"B176","IQ-4, Geography (@Specialty@)-3"
1018,"Area Knowledge (@City@)","IQ/E",1,"B176","Geography (@Specialty@)-3"
1019,"Area Knowledge (@City@; Lived there)","IQ/E",1,"B176","IQ-4, Geography (@Specialty@)-3"
1020,"Area Knowledge (@Galaxy@)","IQ/E",1,"B176","Geography (@Specialty@)-3"
1021,"Area Knowledge (@Galaxy@; Lived there)","IQ/E",1,"B176","IQ-4, Geography (@Specialty@)-3"
1022,"Area Knowledge (@Interplanetary State@)","IQ/E",1,"B176","Geography (@Specialty@)-3"
1023,"Area Knowledge (@Interplanetary State@; Lived there)","IQ/E",1,"B176","IQ-4, Geography (@Specialty@)-3"
1024,"Area Knowledge (@Large Nation@)","IQ/E",1,"B176","Geography (@Specialty@)-3"
1025,"Area Knowledge (@Large Nation@; Lived there)","IQ/E",1,"B176","IQ-4, Geography (@Specialty@)-3"
