1000,"A-10 Thunderbolt",1314,1,1
1001,Abrams,1315,1316,1
1002,"AH-1 Cobra",1317,1318,1
1003,"AH-1 Cobra",1319,1320,1
1004,"Armed Mob",1272,0,128
1005,Badu,1188,1189,16
1006,"BGM-71 TOW",1323,1324,1
1007,BMP-1P,1220,1221,2
1008,BMP-2,1105,1104,4
1009,BMP-2,1222,1223,2
1010,BRDM-2,1224,1225,2
1011,BTR-70,1107,1106,4
1012,BTR-70,1226,1227,2
1013,Dahl,1325,3,1
1014,Dragon,1326,1327,1
1015,Dramonovitch,1228,1229,2
1016,Engineer,1230,1231,2
1017,"Gun Bike",1166,1167,16
1018,Gunari,1164,1165,32
1019,HMMWV,1331,1332,1
1020,"HMMWV TOW",1333,1334,1
1021,Hood,1335,1336,1
1022,Hudson,1337,1338,1
1023,Hunters,1168,1169,16
1024,Infantry,1111,1110,4
1025,Infantry,1123,1122,8
1026,Infantry,1235,1236,2
1027,Infantry,1339,1340,1
1028,"Jaguar 2",1125,1124,8
1029,KanJPz,1127,1126,8
1030,Katarina,1170,1171,16
1031,"Konkurs ATGM",1238,1239,2
1032,Leditta,1172,1173,32
1033,Leditta,1174,1175,32
1034,"Leopard I",1131,1128,8
1035,"Leopard II",1130,1129,8
1036,LStR-40,1113,1112,4
1037,Luchs,1133,1132,8
1038,Lycan,1176,1177,32
1039,"M-2 Bradley",1347,1348,1
1040,"M-3 Bradley",1349,1350,1
1041,M106,1341,1342,1
1042,M113,1343,1344,1
1043,M113,1135,1134,8
1044,M29,1345,1346,1
1045,M37-M,1115,1114,4
1046,"M551 Sheridan",1351,1352,1
1047,"M60A3 Patton",1353,1354,1
1048,M901,1355,1356,1
1049,Marder,1137,1136,8
1050,Matuya,1178,1179,16
1051,Matuya,1181,1180,16
1052,"Mi-24 Hind",1240,1243,2
1053,"Mi-24 Hind",1241,1242,2
1054,Milan,1139,1138,8
1055,Militia,1182,1183,32
1056,Mineroller,1244,1245,2
1057,Morozov,1246,4,2
1058,Mortar,1141,1140,8
1059,Mortar,1247,1248,2
1060,MT-55A,1249,1250,2
1061,Petrova,1251,1252,2
1062,Protector,1184,1185,16
1063,Puker,1186,1187,64
1064,Recon,1358,1357,1
1065,Refugees,1302,0,128
1066,RPD,1190,1191,32
1067,RPG,1192,1193,32
1068,Schmidt,1040,1039,8
1069,Slayer,1194,1195,16
1070,Spetsnaz,1253,1254,2
1071,Stalker,1196,1197,16
1072,Su-24,1255,5,2
1073,"T-12 ATG",1256,1257,2
1074,T-62,1258,1259,2
1075,T-64B,1260,1263,2
1076,T-64B,1261,1262,2
1077,T-72M,1117,1116,4
1078,T-80,1264,1265,2
1079,"Technical MG",1198,1199,32
1080,"Technical RR",1200,1201,32
1081,Tentani,1202,1203,32
1082,Tiny,1359,1360,1
1083,Tornado,1144,0,8
1084,Truck,1204,1205,16
1085,Udvoske,1206,1207,64
1086,"URAL Truck",1266,1267,2
1087,Vorishnov,1268,1269,2
1088,Whitman,1396,0,8
1089,"Wiesel 1",1146,1145,8
1090,"Wiesel TOW",1148,1147,8
1091,Zombies,1208,1209,64
