1,"BRDM-2",,103,102
2,"Hummel",,127,126
3,"M109 Paladin",,131,130
4,"Ostwind",,151,150
5,"Puma",,156,155
6,"SS-1C Scud-B",,168,
7,"Ju-87G Stuka",,179,
8,"ZSU-23-4 Shilka",,194,193
9,"E-100","1/130",5,4
10,"Hummel","1/130",7,6
11,"King Tiger","1/130",9,8
12,"Puma","1/130",11,10
13,"E-100","1/501 SS",63,62
14,"SdKfz 250","1/7 SS",13,12
15,"SS-VT","1/7 SS",18,17
16,"M113","1st Ranger",24,23
17,"M60A1","1st Ranger",26,25
18,"US Rangers","1st Ranger",28,27
19,"SdKfz 250","2/130",30,29
20,"E-100","2/130",35,34
21,"Fallschirmjager","2/130",37,36
22,"Jagdtiger","2/130",39,38
23,"SdKfz 250","2/501 SS",65,64
24,"E-100","2/501 SS",70,69
25,"Jagdtiger","2/501 SS",72,71
26,"SS-VT","2/501 SS",74,73
27,"BRDM-2","2nd Ranger",41,40
28,"M113","2nd Ranger",46,45
29,"M60A1","2nd Ranger",48,47
30,"US Rangers","2nd Ranger",50,49
31,"T-64","4th Guard",58,57
32,"M113","58th Rifle",79,78
33,"US Rangers","58th Rifle",81,80
34,"Spetsnaz","58th Rifle",83,82
35,"T-62","58th Rifle",85,84
36,"Blighter","Black Hand",100,99
37,"Megrim","Black Hand",140,139
38,"Pest","Black Hand",153,152
39,"Rancor","Black Hand",159,158
40,"Ravager","Black Hand",161,160
41,"Scourge","Black Hand",166,165
42,"Zealots","Black Hand",192,191
43,"UH-1 Huey","Cowboys",111,110
44,"Haunebu III","SG 2",172,171
45,"Spetsnaz","Vympel",188,187


